  0.0000E+00 -1.0000E+00 -1.0000E+00  6.3173E-01  5.0089E-01  2.8661E+00  4.2246E-01  1.9821E+00  2.2230E+01
  0.0000E+00 -1.0000E+00 -1.0000E+00  5.6930E-01  3.0000E-01  5.0088E-01  6.9861E-01  1.5000E+00  2.2230E+01
  3.4481E-02  1.1082E+00  1.3192E-01  5.7996E-01  3.5993E-01  1.6404E+00  1.5070E-01  8.7170E+00  2.2230E+01
  1.9223E-02  6.0004E-01  4.5181E-02  1.7529E-01  3.0345E-01  2.8839E+00  1.6239E-01  1.6415E+01  2.2230E+01
  6.6045E-02  3.4913E-01  7.7671E-02  4.2550E-02  3.0475E-01  2.8384E+00  2.1432E-01  2.2684E+01  2.2230E+01
  2.5454E-01  2.5263E-01  1.9040E-01  1.7964E-02  3.0419E-01  2.8581E+00  2.5680E-01  2.7944E+01  2.2230E+01
  2.8085E-01  1.4382E-01  2.1954E-01  1.8462E-03  7.1559E-01  3.0000E+00  2.8050E-01  4.1529E+01  2.2230E+01
  2.9208E-01  6.2949E-02  2.4242E-01  3.2444E-10  3.0000E-01  2.9821E+00  2.5217E-01  7.1856E+01  2.2230E+01
  0.0000E+00 -1.0000E+00 -1.0000E+00  6.9398E-01  4.6897E-01  2.7068E+00  4.0354E-01  1.9901E+00  2.2093E+01
  0.0000E+00 -1.0000E+00 -1.0000E+00  9.7973E-02  6.1647E-01  6.6565E-01  8.2991E-01  1.5000E+00  2.2093E+01
  1.9012E-02  1.2072E+00  1.3236E-01  6.6065E-01  3.2326E-01  2.3440E+00  1.3348E-01  8.7165E+00  2.2093E+01
  2.1547E-02  7.5998E-01  5.8405E-02  2.9911E-01  3.0334E-01  2.8874E+00  1.2772E-01  1.6229E+01  2.2093E+01
  3.3846E-02  4.7937E-01  5.6902E-02  1.1701E-01  3.0556E-01  2.8101E+00  1.5446E-01  2.2058E+01  2.2093E+01
  5.9976E-02  3.4632E-01  7.2189E-02  4.5091E-02  3.0415E-01  2.8594E+00  1.8432E-01  2.6139E+01  2.2093E+01
  1.6308E-01  2.1722E-01  1.3427E-01  1.2883E-02  3.0238E-01  2.9204E+00  2.2679E-01  3.5627E+01  2.2093E+01
  2.5904E-01  1.0353E-01  2.0281E-01  1.4149E-03  3.0000E-01  3.0000E+00  2.4855E-01  6.0971E+01  2.2093E+01
  0.0000E+00 -1.0000E+00 -1.0000E+00  6.7545E-01  5.0142E-01  3.0000E+00  3.7934E-01  2.0149E+00  2.2014E+01
  0.0000E+00 -1.0000E+00 -1.0000E+00  1.1679E+00  3.1001E-01  2.6462E+00  2.8961E-01  3.6310E+00  2.2014E+01
  2.0465E-02  1.2735E+00  2.3960E-01  8.0007E-01  3.1277E-01  2.6318E+00  1.1415E-01  8.6521E+00  2.2014E+01
