y_keV_per_um,f_y,yf_y,d_y,yd_y
0.0228909,5.5099e-05,1.26126e-06,2.04153e-06,4.67325e-08
0.0229697,5.96503e-05,1.37015e-06,2.21778e-06,5.09417e-08
0.0230487,6.09193e-05,1.40411e-06,2.27275e-06,5.23839e-08
0.0231281,5.84265e-05,1.35129e-06,2.18725e-06,5.0587e-08
0.0232077,5.83224e-05,1.35353e-06,2.19087e-06,5.08452e-08
0.0232876,5.87822e-05,1.3689e-06,2.21575e-06,5.15995e-08
0.0233677,6.01191e-05,1.40484e-06,2.27393e-06,5.31366e-08
0.0234482,6.02038e-05,1.41167e-06,2.28498e-06,5.35787e-08
0.0235289,6.22908e-05,1.46563e-06,2.37233e-06,5.58183e-08
0.0236099,6.46315e-05,1.52594e-06,2.46995e-06,5.83153e-08
0.0236911,6.56945e-05,1.55637e-06,2.51921e-06,5.96828e-08
0.0237727,6.29627e-05,1.49679e-06,2.42276e-06,5.75957e-08
0.0238545,6.08865e-05,1.45242e-06,2.35094e-06,5.60804e-08
0.0239366,6.4455e-05,1.54283e-06,2.49729e-06,5.97766e-08
0.024019,0.000919039,2.20744e-05,3.57304e-05,8.58209e-07
0.0241017,7.93503e-05,1.91248e-06,3.09561e-06,7.46094e-08
0.0241847,8.8682e-05,2.14475e-06,3.47157e-06,8.39589e-08
0.0242679,7.91889e-05,1.92175e-06,3.11061e-06,7.54881e-08
0.0243514,7.26331e-05,1.76872e-06,2.86291e-06,6.9716e-08
0.0244353,7.63314e-05,1.86518e-06,3.01905e-06,7.37714e-08
0.0245194,7.30573e-05,1.79132e-06,2.8995e-06,7.1094e-08
0.0246038,7.68876e-05,1.89173e-06,3.06202e-06,7.53374e-08
0.0246885,8.01148e-05,1.97791e-06,3.20153e-06,7.90409e-08
0.0247735,7.8923e-05,1.9552e-06,3.16476e-06,7.84021e-08
0.0248587,7.60001e-05,1.88926e-06,3.05803e-06,7.60187e-08
0.0249443,7.69229e-05,1.91879e-06,3.10582e-06,7.74726e-08
0.0250302,7.72481e-05,1.93353e-06,3.12969e-06,7.83368e-08
0.0251163,7.7965e-05,1.95819e-06,3.16961e-06,7.96088e-08
